"A valid quote ID is required.","A valid quote ID is required."
"Quote %1 is not a Negotiable Quote.","Quote %1 is not a Negotiable Quote."
"Unsupported immutable quote implementation.","Unsupported immutable quote implementation."
"Unable to save the immutable lock for quote %1.","Unable to save the immutable lock for quote %1."
"Negotiable quote %1 does not exist.","Negotiable quote %1 does not exist."
"Unable to unlock quote %1.","Unable to unlock quote %1."
"This is a locked B2B quote. Its negotiated items, quantities, addresses, shipping and discounts cannot be changed. Activate another quote to make changes.","This is a locked B2B quote. Its negotiated items, quantities, addresses, shipping and discounts cannot be changed. Activate another quote to make changes."
"Immutable quote API rate limit exceeded. Try again in the next hour.","Immutable quote API rate limit exceeded. Try again in the next hour."
"Mutable","Mutable"
"Immutable","Immutable"
"B2B Immutable Quotes","B2B Immutable Quotes"
"API Security","API Security"
"Requests per hour per identity and operation","Requests per hour per identity and operation"
"Default: 100","Default: 100"
"View immutable lock state","View immutable lock state"
"Lock/unlock Negotiable Quotes (API only)","Lock/unlock Negotiable Quotes (API only)"
