"A valid quote ID is required.","Se requiere un ID de cotización válido."
"Quote %1 is not a Negotiable Quote.","La cotización %1 no es una Cotización Negociable."
"Unsupported immutable quote implementation.","Implementación de cotización inmutable no compatible."
"Unable to save the immutable lock for quote %1.","No se pudo guardar el bloqueo inmutable de la cotización %1."
"Negotiable quote %1 does not exist.","La cotización negociable %1 no existe."
"Unable to unlock quote %1.","No se pudo desbloquear la cotización %1."
"This is a locked B2B quote. Its negotiated items, quantities, addresses, shipping and discounts cannot be changed. Activate another quote to make changes.","Esta es una cotización B2B bloqueada. Sus artículos negociados, cantidades, direcciones, envío y descuentos no se pueden modificar. Active otra cotización para realizar cambios."
"Immutable quote API rate limit exceeded. Try again in the next hour.","Se superó el límite de solicitudes de la API de cotizaciones inmutables. Inténtelo nuevamente en la próxima hora."
"Mutable","Mutable"
"Immutable","Inmutable"
"B2B Immutable Quotes","Cotizaciones B2B Inmutables"
"API Security","Seguridad de la API"
"Requests per hour per identity and operation","Solicitudes por hora por identidad y operación"
"Default: 100","Predeterminado: 100"
"View immutable lock state","Ver estado de bloqueo inmutable"
"Lock/unlock Negotiable Quotes (API only)","Bloquear/desbloquear Cotizaciones Negociables (solo API)"
